age,job,education,day_of_week,duration,campaign,poutcome,cons_conf_idx,euribor3m,nr_employed
46,0,2,3,349,2,0,-46.2,1.291,5099.1
35,0,1,0,613,1,1,-41.8,4.967,5228.1
56,3,0,2,212,1,0,-42.0,4.076,5195.8
35,1,0,4,282,15,1,-41.8,4.864,5228.1
39,3,0,2,223,6,1,-36.1,4.963,5228.1
38,0,6,1,55,2,1,-36.4,4.858,5191.0
38,0,6,4,79,2,1,-42.0,4.12,5195.8
55,1,2,2,97,1,1,-36.4,4.86,5191.0
34,9,6,0,47,2,0,-46.2,1.313,5099.1
38,9,2,1,29,5,1,-46.2,1.244,5099.1
43,1,0,0,101,6,1,-42.7,4.957,5228.1
32,0,3,3,195,2,1,-36.1,4.968,5228.1
29,6,5,4,683,2,1,-42.7,4.963,5228.1
27,0,7,4,591,2,1,-36.4,4.857,5191.0
54,1,0,1,56,4,1,-36.1,4.965,5228.1
31,9,5,2,184,1,1,-36.1,4.964,5228.1
34,0,6,3,283,1,1,-42.7,4.961,5228.1
39,9,6,0,492,1,1,-47.1,1.405,5099.1
21,1,2,4,359,1,1,-42.7,4.962,5228.1
52,6,6,3,276,1,1,-36.1,4.963,5228.1
32,1,6,2,59,1,1,-42.0,4.076,5195.8
39,0,3,3,165,2,0,-39.8,0.702,4991.6
35,4,6,1,986,1,0,-30.1,0.714,5017.5
54,3,6,4,77,3,1,-31.4,0.879,5076.2
32,4,6,3,107,1,1,-30.1,0.716,5017.5
30,4,6,1,61,3,0,-46.2,1.299,5099.1
56,5,1,4,90,1,1,-42.7,4.963,5228.1
34,1,2,3,227,2,1,-42.7,4.962,5228.1
57,1,0,0,42,3,1,-42.7,4.962,5228.1
42,1,7,1,241,1,1,-47.1,1.405,5099.1
51,2,6,4,71,1,1,-41.8,4.958,5228.1
56,4,6,4,171,1,1,-36.4,4.858,5191.0
46,0,2,0,24,4,1,-41.8,4.959,5228.1
38,7,2,2,417,2,1,-47.1,1.41,5099.1
25,7,2,4,444,1,1,-42.7,4.963,5228.1
72,5,0,0,483,4,2,-40.3,0.822,4991.6
40,2,2,2,561,3,1,-41.8,4.866,5228.1
35,1,1,0,319,2,1,-41.8,4.967,5228.1
48,0,3,1,191,2,1,-42.0,4.191,5195.8
33,9,5,0,395,2,1,-36.4,4.864,5191.0
50,0,6,4,1149,5,1,-36.1,4.965,5228.1
33,1,2,2,70,1,1,-42.0,4.076,5195.8
51,0,6,4,120,3,1,-46.2,1.334,5099.1
29,0,2,2,111,1,1,-46.2,1.266,5099.1
37,4,6,4,158,1,1,-42.7,4.962,5228.1
47,4,6,3,139,2,1,-42.0,4.153,5195.8
34,0,6,4,202,1,1,-36.1,4.965,5228.1
32,1,1,4,36,2,1,-36.4,4.858,5191.0
22,7,3,1,181,1,1,-40.8,1.26,5076.2
42,1,1,0,304,3,1,-42.7,4.957,5228.1
37,1,3,4,131,2,1,-36.4,4.858,5191.0
34,0,6,3,267,2,1,-31.4,0.883,5076.2
33,0,6,0,128,1,1,-36.4,4.855,5191.0
27,0,3,2,135,3,1,-42.7,4.968,5228.1
38,9,5,2,92,1,1,-50.0,1.757,5099.1
58,5,0,4,83,3,1,-36.1,4.964,5228.1
53,0,3,3,470,2,0,-46.2,1.344,5099.1
29,1,1,3,272,2,1,-42.0,4.153,5195.8
39,1,1,0,124,1,0,-46.2,1.25,5099.1
44,1,0,1,299,5,1,-41.8,4.961,5228.1
26,10,3,3,445,1,1,-33.6,1.044,5076.2
40,1,2,3,1135,2,1,-42.7,4.955,5228.1
48,2,0,2,81,1,1,-36.1,4.964,5228.1
37,1,5,3,111,3,1,-36.4,4.856,5191.0
26,1,2,2,135,1,0,-46.2,1.266,5099.1
35,1,3,4,49,2,1,-46.2,1.281,5099.1
61,0,7,1,109,3,0,-40.3,0.889,4991.6
32,10,6,0,47,2,1,-42.7,4.963,5228.1
55,0,6,1,93,1,1,-42.7,4.96,5228.1
23,7,3,1,316,1,1,-42.7,4.96,5228.1
43,1,2,3,108,1,1,-42.7,4.962,5228.1
40,7,3,3,144,1,0,-40.4,4.968,5195.8
56,1,0,3,1545,1,1,-42.7,4.961,5228.1
28,1,3,3,214,1,1,-42.7,4.962,5228.1
38,0,3,2,561,2,2,-40.3,0.782,4991.6
32,0,6,0,74,1,1,-42.0,4.021,5195.8
37,10,6,3,135,2,1,-42.0,4.153,5195.8
31,9,6,3,259,1,0,-42.0,4.153,5195.8
49,1,0,4,96,3,1,-36.1,4.964,5228.1
60,6,2,0,11,5,1,-41.8,4.959,5228.1
32,0,3,3,243,4,1,-36.1,4.963,5228.1
34,7,2,4,124,1,1,-36.4,4.857,5191.0
50,1,2,2,77,2,1,-36.4,4.855,5191.0
34,1,0,4,135,2,1,-36.4,4.859,5191.0
40,4,3,0,94,7,1,-46.2,1.259,5099.1
44,1,0,2,153,1,1,-41.8,4.866,5228.1
38,1,0,2,365,1,0,-46.2,1.266,5099.1
38,7,2,2,101,1,0,-47.1,1.483,5099.1
50,0,3,4,260,5,1,-36.4,4.858,5191.0
26,11,2,1,64,1,2,-46.2,1.264,5099.1
40,0,6,4,267,2,1,-42.0,4.12,5195.8
45,9,6,3,146,2,0,-40.0,0.697,5008.7
22,8,6,1,138,12,1,-42.7,4.96,5228.1
39,6,2,4,46,1,1,-42.0,4.12,5195.8
27,0,5,2,584,1,1,-46.2,1.266,5099.1
35,1,0,3,178,1,1,-42.7,4.961,5228.1
42,4,6,2,92,2,1,-41.8,4.961,5228.1
31,4,3,0,385,7,1,-36.4,4.859,5191.0
38,9,5,4,154,2,1,-36.4,4.858,5191.0
38,1,2,3,319,4,1,-42.7,4.962,5228.1
34,1,1,3,195,10,1,-36.4,4.856,5191.0
53,1,0,2,627,1,1,-41.8,4.866,5228.1
44,9,5,4,112,1,1,-36.1,4.964,5228.1
44,0,6,4,96,2,2,-31.4,0.879,5076.2
40,0,6,3,176,2,1,-41.8,4.864,5228.1
52,1,2,4,263,1,1,-36.4,4.859,5191.0
35,7,3,4,698,2,1,-42.7,4.963,5228.1
44,3,6,1,223,1,0,-40.8,1.266,5076.2
27,0,5,0,103,1,1,-41.8,4.947,5228.1
52,0,2,2,82,6,1,-36.1,4.962,5228.1
31,8,7,2,427,1,0,-47.1,1.41,5099.1
47,9,2,1,151,2,0,-47.1,1.405,5099.1
26,0,6,4,455,1,1,-42.7,4.957,5228.1
54,7,3,1,56,1,1,-42.0,4.191,5195.8
33,0,6,2,139,2,1,-36.4,4.86,5191.0
50,6,5,2,73,7,1,-42.7,4.968,5228.1
32,9,5,3,479,1,1,-42.7,4.961,5228.1
45,7,3,1,96,1,1,-42.0,4.191,5195.8
34,4,6,2,116,1,1,-42.0,4.076,5195.8
29,0,3,3,574,2,1,-42.7,4.962,5228.1
42,1,1,3,364,2,1,-42.0,4.153,5195.8
35,1,2,3,231,2,1,-42.0,4.153,5195.8
55,0,0,0,198,1,1,-47.1,1.405,5099.1
38,2,2,2,158,5,1,-42.0,4.076,5195.8
36,0,6,1,85,1,0,-46.2,1.299,5099.1
51,3,0,3,80,5,1,-36.1,4.966,5228.1
31,1,2,1,213,1,1,-42.0,4.191,5195.8
34,0,3,4,176,3,1,-36.1,4.967,5228.1
55,9,5,0,98,1,1,-42.0,4.021,5195.8
38,1,1,2,500,1,1,-42.7,4.963,5228.1
48,0,6,0,103,1,2,-31.4,0.881,5076.2
49,1,7,4,206,2,1,-42.7,4.957,5228.1
33,9,6,2,359,2,1,-33.6,1.018,5076.2
59,0,7,1,295,4,0,-29.8,0.797,5017.5
52,7,1,1,44,2,0,-47.1,1.405,5099.1
35,1,2,2,92,1,1,-41.8,4.866,5228.1
42,4,6,2,109,5,1,-36.1,4.968,5228.1
47,2,7,3,434,1,1,-36.4,4.856,5191.0
55,5,3,2,424,2,2,-26.9,0.722,5017.5
38,9,5,4,111,1,1,-42.0,4.12,5195.8
42,2,3,0,332,2,1,-36.1,4.964,5228.1
28,1,3,2,240,1,1,-47.1,1.483,5099.1
34,1,2,0,70,1,0,-47.1,1.405,5099.1
32,1,3,0,182,2,1,-41.8,4.967,5228.1
51,7,1,2,407,1,2,-47.1,1.365,5099.1
32,1,2,3,999,3,1,-36.4,4.856,5191.0
34,0,3,3,105,1,1,-42.0,4.153,5195.8
47,7,2,1,64,2,1,-42.7,4.96,5228.1
34,9,5,0,122,1,0,-47.1,1.405,5099.1
53,6,6,0,371,2,1,-36.4,4.864,5191.0
33,1,2,3,408,2,0,-46.2,1.344,5099.1
60,0,7,3,787,1,2,-50.8,1.046,4963.6
39,1,6,4,91,7,1,-42.7,4.963,5228.1
30,9,2,1,63,1,1,-46.2,1.299,5099.1
46,0,6,4,276,4,1,-36.4,4.859,5191.0
32,1,2,3,122,7,1,-36.4,4.856,5191.0
47,0,0,1,126,2,1,-36.4,4.857,5191.0
44,1,2,1,139,2,1,-42.7,4.96,5228.1
46,4,6,2,249,1,1,-47.1,1.483,5099.1
33,4,6,2,2420,3,1,-42.0,4.076,5195.8
29,0,3,0,151,2,1,-42.7,4.963,5228.1
24,9,2,0,109,11,1,-46.2,1.25,5099.1
58,5,3,4,124,1,1,-42.7,4.957,5228.1
39,1,7,0,79,1,1,-47.1,1.405,5099.1
57,9,6,1,200,6,0,-46.2,1.299,5099.1
40,1,2,1,824,5,1,-42.7,4.96,5228.1
43,4,3,4,48,10,1,-41.8,4.962,5228.1
35,1,2,4,58,1,1,-36.4,4.859,5191.0
33,7,3,0,73,4,1,-36.4,4.855,5191.0
45,0,5,4,565,1,1,-36.4,4.858,5191.0
29,0,6,1,215,1,1,-34.8,0.639,5008.7
42,3,3,1,186,4,1,-46.2,1.354,5099.1
32,1,0,3,813,2,0,-46.2,1.344,5099.1
57,0,3,3,162,1,1,-42.7,4.961,5228.1
33,7,3,1,11,5,1,-47.1,1.405,5099.1
33,1,2,4,116,2,0,-46.2,1.334,5099.1
36,9,6,4,197,2,1,-36.4,4.858,5191.0
57,0,6,3,105,1,1,-36.4,4.856,5191.0
43,4,6,1,213,3,1,-36.4,4.857,5191.0
31,1,2,0,323,4,1,-36.4,4.859,5191.0
27,0,3,2,314,2,0,-47.1,1.41,5099.1
57,9,6,2,259,2,1,-36.1,4.964,5228.1
59,9,5,0,43,1,1,-46.2,1.259,5099.1
49,1,2,3,199,4,1,-36.4,4.856,5191.0
27,8,6,2,141,1,1,-47.1,1.406,5099.1
21,8,3,3,220,1,1,-50.0,1.614,5099.1
46,7,2,2,70,6,1,-36.1,4.962,5228.1
45,0,6,4,158,1,0,-30.1,0.715,5017.5
42,9,2,2,263,1,1,-36.4,4.86,5191.0
37,9,6,2,237,1,1,-36.4,4.855,5191.0
41,4,6,0,124,7,1,-36.1,4.963,5228.1
52,1,2,3,319,1,1,-36.4,4.857,5191.0
48,10,3,1,283,6,1,-36.4,4.857,5191.0
34,2,5,2,109,4,1,-42.7,4.958,5228.1
43,6,3,4,181,1,1,-40.4,4.936,5195.8
36,7,3,4,130,1,1,-36.4,4.857,5191.0
54,0,2,1,238,1,1,-42.0,4.191,5195.8
24,8,3,0,292,1,1,-31.4,0.881,5076.2
26,8,6,1,796,1,1,-33.0,0.709,5023.5
37,4,6,3,208,1,1,-36.1,4.963,5228.1
39,0,3,1,210,3,1,-42.7,4.962,5228.1
29,0,6,3,124,2,1,-36.1,4.965,5228.1
33,0,3,3,169,1,1,-46.2,1.344,5099.1
32,4,6,0,51,2,1,-42.0,4.021,5195.8
31,8,6,2,277,1,1,-42.7,4.958,5228.1
43,0,5,3,55,2,1,-42.0,4.153,5195.8
50,1,0,1,1130,3,1,-42.7,4.962,5228.1
58,1,2,1,498,1,1,-36.1,4.97,5228.1
47,4,0,1,882,1,1,-36.4,4.858,5191.0
32,1,2,3,118,3,1,-41.8,4.961,5228.1
43,1,2,1,7,6,1,-46.2,1.299,5099.1
46,0,6,1,277,2,1,-47.1,1.405,5099.1
34,7,3,2,207,1,1,-46.2,1.327,5099.1
43,0,6,4,281,1,1,-33.6,1.029,5076.2
42,4,6,1,178,2,1,-36.1,4.963,5228.1
41,0,6,3,362,1,1,-42.7,4.962,5228.1
34,2,7,2,318,1,1,-36.4,4.86,5191.0
29,6,7,3,125,2,1,-42.7,4.962,5228.1
41,0,6,3,352,5,1,-36.4,4.856,5191.0
49,0,3,0,151,1,1,-36.1,4.966,5228.1
36,0,2,4,173,1,1,-34.6,0.644,5008.7
34,1,1,2,43,3,1,-46.2,1.266,5099.1
31,0,6,3,82,3,1,-42.7,4.961,5228.1
33,1,2,3,176,3,1,-36.4,4.856,5191.0
50,0,6,1,540,3,1,-36.1,4.965,5228.1
56,1,2,4,99,6,1,-41.8,4.864,5228.1
45,4,6,2,265,3,1,-46.2,1.327,5099.1
52,4,6,1,80,3,1,-41.8,4.961,5228.1
40,7,3,0,456,1,0,-47.1,1.479,5099.1
31,9,6,1,249,3,1,-36.1,4.963,5228.1
31,4,6,1,369,1,1,-42.0,4.191,5195.8
40,9,6,1,139,2,2,-30.1,0.714,5017.5
43,0,3,1,150,8,1,-46.2,1.244,5099.1
46,4,6,2,311,3,1,-36.4,4.86,5191.0
34,0,6,4,171,2,1,-42.7,4.963,5228.1
46,3,0,0,177,1,1,-36.1,4.964,5228.1
34,7,3,4,98,1,1,-47.1,1.445,5099.1
51,0,1,4,140,1,1,-41.8,4.959,5228.1
50,9,5,3,78,5,1,-41.8,4.961,5228.1
43,9,2,1,258,2,1,-36.4,4.857,5191.0
53,0,3,1,180,5,1,-42.7,4.962,5228.1
48,0,3,2,64,1,1,-42.7,4.958,5228.1
32,7,3,2,213,2,1,-46.2,1.327,5099.1
32,0,3,0,52,8,1,-36.1,4.966,5228.1
32,9,5,0,303,2,0,-46.2,1.25,5099.1
42,0,6,0,10,3,1,-42.0,4.021,5195.8
41,1,1,1,133,2,1,-46.2,1.299,5099.1
47,1,1,3,308,2,1,-36.1,4.963,5228.1
37,9,5,2,635,3,1,-41.8,4.961,5228.1
33,1,2,3,141,2,1,-42.7,4.962,5228.1
37,0,6,3,125,3,1,-42.7,4.961,5228.1
36,0,6,1,83,3,1,-36.1,4.965,5228.1
27,0,6,2,1543,4,1,-46.2,1.266,5099.1
49,9,5,0,364,1,0,-46.2,1.313,5099.1
41,0,6,4,108,4,1,-36.1,4.964,5228.1
37,1,2,2,271,1,1,-46.2,1.327,5099.1
25,10,3,4,436,2,2,-34.8,0.651,5008.7
31,1,2,2,257,2,0,-47.1,1.41,5099.1
27,0,6,3,490,5,1,-42.7,4.961,5228.1
36,1,2,1,379,2,1,-36.4,4.857,5191.0
56,0,6,1,165,2,1,-36.1,4.965,5228.1
43,9,7,1,325,1,1,-36.4,4.857,5191.0
33,10,3,3,227,1,1,-26.9,0.742,5017.5
43,7,3,2,60,1,0,-47.1,1.41,5099.1
34,4,6,3,57,4,1,-34.8,0.635,5008.7
44,1,0,1,425,2,1,-36.1,4.965,5228.1
52,9,5,3,425,2,1,-36.1,4.968,5228.1
53,1,2,3,139,2,1,-36.4,4.856,5191.0
37,1,3,3,117,3,1,-41.8,4.961,5228.1
40,9,5,3,191,2,1,-36.4,4.857,5191.0
39,0,6,2,543,1,1,-36.4,4.86,5191.0
48,10,1,0,58,3,1,-36.4,4.864,5191.0
49,4,2,3,336,1,1,-42.0,4.153,5195.8
63,5,0,0,153,2,2,-31.4,0.869,5076.2
42,2,5,2,576,7,1,-42.7,4.968,5228.1
32,2,3,4,190,1,1,-42.0,4.12,5195.8
47,1,2,4,139,1,1,-46.2,1.334,5099.1
31,7,2,1,277,1,1,-40.8,1.266,5076.2
33,6,6,2,352,3,1,-42.0,4.076,5195.8
27,11,6,4,121,3,1,-39.8,0.767,4991.6
54,0,7,4,38,2,1,-41.8,4.864,5228.1
35,1,2,0,461,1,1,-36.4,4.864,5191.0
28,1,2,2,333,2,1,-47.1,1.406,5099.1
47,0,5,3,92,2,1,-36.4,4.856,5191.0
32,9,5,2,106,1,1,-42.0,4.076,5195.8
36,0,5,3,201,2,1,-42.0,4.153,5195.8
41,9,3,0,66,10,1,-36.1,4.963,5228.1
56,2,6,3,41,1,1,-42.7,4.961,5228.1
52,0,3,0,131,1,1,-36.1,4.963,5228.1
52,9,5,2,191,1,1,-42.7,4.962,5228.1
57,9,5,3,15,7,1,-36.1,4.965,5228.1
35,10,3,2,84,1,1,-42.7,4.958,5228.1
30,2,6,2,230,1,1,-36.4,4.86,5191.0
28,1,1,3,312,2,1,-36.4,4.857,5191.0
27,0,6,3,126,2,1,-29.8,0.77,5017.5
40,10,6,4,18,1,1,-42.7,4.963,5228.1
44,9,6,4,874,2,0,-39.8,0.715,4991.6
36,1,0,2,97,1,1,-41.8,4.961,5228.1
28,9,2,3,261,1,2,-46.2,1.291,5099.1
30,4,6,4,217,2,1,-42.7,4.963,5228.1
49,10,5,3,298,3,1,-40.8,1.252,5076.2
41,1,0,0,153,2,1,-36.4,4.864,5191.0
48,1,0,3,277,1,1,-42.7,4.961,5228.1
27,7,3,2,211,2,1,-42.7,4.962,5228.1
38,9,2,4,221,1,1,-36.4,4.857,5191.0
33,7,3,4,201,1,1,-36.4,4.857,5191.0
29,7,3,1,87,6,0,-46.2,1.244,5099.1
32,9,5,2,1060,2,1,-46.2,1.266,5099.1
25,6,6,1,178,7,1,-41.8,4.96,5228.1
38,1,2,4,160,3,1,-36.4,4.857,5191.0
35,0,6,0,91,1,1,-36.1,4.966,5228.1
44,2,1,3,75,4,1,-41.8,4.864,5228.1
48,0,6,3,196,4,1,-42.7,4.961,5228.1
42,1,0,4,54,10,1,-42.7,4.963,5228.1
56,1,0,2,163,2,1,-36.1,4.968,5228.1
69,2,3,4,144,2,1,-40.8,1.26,5076.2
53,10,2,3,67,4,1,-46.2,1.344,5099.1
45,1,0,3,81,3,1,-36.1,4.965,5228.1
35,9,5,2,49,1,1,-46.2,1.327,5099.1
26,8,6,1,115,1,1,-46.2,1.264,5099.1
38,9,5,4,1049,1,1,-42.0,4.12,5195.8
46,0,5,2,78,1,1,-36.4,4.86,5191.0
50,3,0,3,176,2,1,-36.4,4.857,5191.0
39,9,5,3,25,1,1,-46.2,1.291,5099.1
41,1,1,0,621,1,1,-36.4,4.857,5191.0
32,0,6,4,525,2,1,-41.8,4.864,5228.1
30,1,1,0,50,4,1,-42.7,4.957,5228.1
40,0,7,4,30,12,1,-36.4,4.858,5191.0
39,0,5,2,106,1,1,-41.8,4.958,5228.1
42,1,2,2,190,1,1,-46.2,1.266,5099.1
31,0,6,0,692,1,1,-42.7,4.959,5228.1
36,9,5,2,191,1,0,-46.2,1.327,5099.1
75,5,3,3,162,1,2,-34.6,0.642,5008.7
35,0,6,2,789,1,1,-31.4,0.883,5076.2
54,9,6,2,252,2,1,-36.1,4.964,5228.1
38,1,0,3,239,1,1,-47.1,1.453,5099.1
49,0,6,2,185,2,1,-41.8,4.958,5228.1
27,0,6,3,142,1,1,-36.4,4.857,5191.0
36,1,1,3,330,1,1,-50.8,1.046,4963.6
28,7,6,1,316,4,1,-33.6,1.048,5076.2
43,2,3,2,274,2,1,-42.0,4.076,5195.8
32,9,2,2,52,5,1,-41.8,4.958,5228.1
58,5,5,0,158,3,0,-42.0,4.021,5195.8
88,5,0,4,180,1,1,-26.9,0.735,5017.5
31,7,3,2,42,5,1,-42.7,4.968,5228.1
37,9,5,1,168,1,1,-41.8,4.961,5228.1
